,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:59:56 +0000 2017,930948512275140608
1,0.25,@Apple,0.094,0.769,0.137,Wed Nov 15 17:59:46 +0000 2017,930948471112138752
2,0.5859,@Apple,0.042,0.81,0.148,Wed Nov 15 17:59:33 +0000 2017,930948416456163328
3,-0.5938,@Apple,0.245,0.755,0.0,Wed Nov 15 17:59:30 +0000 2017,930948406108966918
4,-0.4367,@Apple,0.301,0.699,0.0,Wed Nov 15 17:59:26 +0000 2017,930948388497100800
5,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:59:23 +0000 2017,930948373590495234
6,0.3182,@Apple,0.0,0.723,0.277,Wed Nov 15 17:59:13 +0000 2017,930948335116066816
7,-0.296,@Apple,0.524,0.476,0.0,Wed Nov 15 17:59:03 +0000 2017,930948289276637184
8,0.0,@Apple,0.0,0.0,0.0,Wed Nov 15 17:59:00 +0000 2017,930948279910780928
9,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:58:58 +0000 2017,930948271262064640
10,0.3971,@Apple,0.0,0.804,0.196,Wed Nov 15 17:58:46 +0000 2017,930948218279604224
11,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:58:43 +0000 2017,930948206992781312
12,-0.3612,@Apple,0.079,0.921,0.0,Wed Nov 15 17:58:22 +0000 2017,930948120514646016
13,-0.4939,@Apple,0.314,0.686,0.0,Wed Nov 15 17:58:20 +0000 2017,930948112859979777
14,0.0534,@Apple,0.119,0.752,0.128,Wed Nov 15 17:58:15 +0000 2017,930948089749188608
15,0.7357,@Apple,0.053,0.805,0.142,Wed Nov 15 17:58:13 +0000 2017,930948082111356928
16,0.6919,@Apple,0.062,0.689,0.249,Wed Nov 15 17:58:07 +0000 2017,930948056312410113
17,-0.4235,@Apple,0.286,0.714,0.0,Wed Nov 15 17:57:57 +0000 2017,930948013371006981
18,-0.5994,@Apple,0.394,0.606,0.0,Wed Nov 15 17:57:52 +0000 2017,930947992240230401
19,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:57:40 +0000 2017,930947943733121024
20,0.6996,@Apple,0.0,0.876,0.124,Wed Nov 15 17:57:22 +0000 2017,930947867644252170
21,-0.1926,@Apple,0.071,0.929,0.0,Wed Nov 15 17:57:17 +0000 2017,930947846076903424
22,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:57:03 +0000 2017,930947786211651584
23,-0.88,@Apple,0.199,0.801,0.0,Wed Nov 15 17:56:40 +0000 2017,930947691655450624
24,0.0,@Apple,0.0,1.0,0.0,Wed Nov 15 17:56:28 +0000 2017,930947641114091521
25,0.3612,@Apple,0.0,0.839,0.161,Wed Nov 15 17:56:07 +0000 2017,930947553469915136
26,-0.5574,@Apple,0.231,0.769,0.0,Wed Nov 15 17:56:02 +0000 2017,930947533618188295
27,-0.5267,@Apple,0.239,0.761,0.0,Wed Nov 15 17:55:56 +0000 2017,930947508993478657
28,0.9229,@Apple,0.0,0.475,0.525,Wed Nov 15 17:55:40 +0000 2017,930947440764579842
