,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:59:38 +0000 2017,930948436316303360
1,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:59:37 +0000 2017,930948432365326336
2,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:59:34 +0000 2017,930948422605123586
3,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:59:30 +0000 2017,930948404888457216
4,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:59:10 +0000 2017,930948320444469250
5,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:53 +0000 2017,930948250252840964
6,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:44 +0000 2017,930948210813820928
7,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:40 +0000 2017,930948196213428227
8,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:30 +0000 2017,930948152299016192
9,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:58:11 +0000 2017,930948072900911104
10,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:57:57 +0000 2017,930948014839123968
11,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:57:41 +0000 2017,930947947721908224
12,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:57:35 +0000 2017,930947920265744384
13,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:57:28 +0000 2017,930947892180897792
14,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:57:18 +0000 2017,930947851936583682
15,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:57:00 +0000 2017,930947775356964864
16,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:56:54 +0000 2017,930947750421843968
17,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:56:41 +0000 2017,930947695560351745
18,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:56:36 +0000 2017,930947674509111302
19,0.6369,@Macys,0.0,0.704,0.296,Wed Nov 15 17:56:34 +0000 2017,930947665893916672
20,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:56:33 +0000 2017,930947662978969600
21,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:56:30 +0000 2017,930947650660306944
22,0.919,@Macys,0.0,0.593,0.407,Wed Nov 15 17:56:29 +0000 2017,930947644297539584
23,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:56:21 +0000 2017,930947610629820418
24,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:55:58 +0000 2017,930947513871368193
25,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:55:49 +0000 2017,930947476428902400
26,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:55:42 +0000 2017,930947450008895488
27,0.6369,@Macys,0.0,0.417,0.583,Wed Nov 15 17:55:32 +0000 2017,930947406828654593
28,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:55:22 +0000 2017,930947363006533632
29,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:55:20 +0000 2017,930947357826482181
30,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:55:09 +0000 2017,930947310313500672
31,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:54:55 +0000 2017,930947250326564865
32,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:54:40 +0000 2017,930947189530157057
33,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:54:38 +0000 2017,930947178062929925
34,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:37 +0000 2017,930947176649363456
35,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:54:36 +0000 2017,930947173407248384
36,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:16 +0000 2017,930947087440760832
37,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:11 +0000 2017,930947065974321152
38,0.75,@Macys,0.067,0.7,0.233,Wed Nov 15 17:54:03 +0000 2017,930947032843419649
39,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:49 +0000 2017,930946973015867393
40,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:53:26 +0000 2017,930946879097135104
41,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:21 +0000 2017,930946856519131136
42,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:53:19 +0000 2017,930946846746464256
43,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:18 +0000 2017,930946846108811265
44,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:50 +0000 2017,930946728966189056
45,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:47 +0000 2017,930946713107550209
46,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:43 +0000 2017,930946698981015552
47,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:39 +0000 2017,930946681155158017
48,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:35 +0000 2017,930946663753101312
49,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:22 +0000 2017,930946607859798016
50,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:18 +0000 2017,930946592760311810
51,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:52:17 +0000 2017,930946588717060097
52,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:07 +0000 2017,930946547537264640
53,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:51:41 +0000 2017,930946435624984576
54,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:51:38 +0000 2017,930946426372313088
55,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:51:22 +0000 2017,930946358978195456
56,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:51:06 +0000 2017,930946288618823680
57,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:51:04 +0000 2017,930946282998456320
58,0.5106,@Macys,0.0,0.602,0.398,Wed Nov 15 17:51:02 +0000 2017,930946271845732352
59,0.7717,@Macys,0.0,0.739,0.261,Wed Nov 15 17:51:01 +0000 2017,930946271359234048
60,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:57 +0000 2017,930946252958773248
61,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:50:54 +0000 2017,930946241814556672
62,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:52 +0000 2017,930946233790853121
63,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:49 +0000 2017,930946220431937541
64,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:50:39 +0000 2017,930946176001638400
65,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:50:31 +0000 2017,930946142380183553
66,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:50:15 +0000 2017,930946077448179713
67,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:50:11 +0000 2017,930946060599660544
68,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:50:10 +0000 2017,930946055327412224
69,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:10 +0000 2017,930946053872017408
70,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:49:57 +0000 2017,930946000100974592
71,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:49:56 +0000 2017,930945995311116288
72,0.7473,@Macys,0.084,0.709,0.206,Wed Nov 15 17:49:55 +0000 2017,930945991896915968
73,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:49:51 +0000 2017,930945976277270530
74,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:49:40 +0000 2017,930945928017661953
75,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:49:33 +0000 2017,930945901836800001
76,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:49:24 +0000 2017,930945862922129408
77,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:49:09 +0000 2017,930945799420182529
78,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:50 +0000 2017,930945719774666752
79,-0.1531,@Macys,0.111,0.758,0.131,Wed Nov 15 17:48:42 +0000 2017,930945687461793792
80,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:48:34 +0000 2017,930945651738898432
81,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:33 +0000 2017,930945648421203968
82,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:25 +0000 2017,930945615168753664
83,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:55 +0000 2017,930945488060342273
84,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:27 +0000 2017,930945370712141825
85,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:22 +0000 2017,930945352240435200
86,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:47:21 +0000 2017,930945348096413696
87,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:14 +0000 2017,930945316395868165
88,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:13 +0000 2017,930945312147038208
89,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:07 +0000 2017,930945287753027584
90,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:07 +0000 2017,930945286888984576
91,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:06 +0000 2017,930945283478970369
92,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:04 +0000 2017,930945274616393730
93,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:46:58 +0000 2017,930945248783683584
94,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:46:49 +0000 2017,930945212058341377
95,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:46:46 +0000 2017,930945200180072449
96,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:46:19 +0000 2017,930945085172322304
97,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:46:17 +0000 2017,930945077685440513
98,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:46:13 +0000 2017,930945060979531776
99,0.5707,@Macys,0.0,0.655,0.345,Wed Nov 15 17:45:49 +0000 2017,930944962602196992
,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:59:38 +0000 2017,930948436316303360
1,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:59:37 +0000 2017,930948432365326336
2,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:59:34 +0000 2017,930948422605123586
3,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:59:30 +0000 2017,930948404888457216
4,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:59:10 +0000 2017,930948320444469250
5,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:53 +0000 2017,930948250252840964
6,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:44 +0000 2017,930948210813820928
7,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:40 +0000 2017,930948196213428227
8,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:58:30 +0000 2017,930948152299016192
9,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:58:11 +0000 2017,930948072900911104
10,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:57:57 +0000 2017,930948014839123968
11,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:57:41 +0000 2017,930947947721908224
12,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:57:35 +0000 2017,930947920265744384
13,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:57:28 +0000 2017,930947892180897792
14,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:57:18 +0000 2017,930947851936583682
15,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:57:00 +0000 2017,930947775356964864
16,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:56:54 +0000 2017,930947750421843968
17,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:56:41 +0000 2017,930947695560351745
18,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:56:36 +0000 2017,930947674509111302
19,0.6369,@Macys,0.0,0.704,0.296,Wed Nov 15 17:56:34 +0000 2017,930947665893916672
20,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:56:33 +0000 2017,930947662978969600
21,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:56:30 +0000 2017,930947650660306944
22,0.919,@Macys,0.0,0.593,0.407,Wed Nov 15 17:56:29 +0000 2017,930947644297539584
23,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:56:21 +0000 2017,930947610629820418
24,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:55:58 +0000 2017,930947513871368193
25,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:55:49 +0000 2017,930947476428902400
26,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:55:42 +0000 2017,930947450008895488
27,0.6369,@Macys,0.0,0.417,0.583,Wed Nov 15 17:55:32 +0000 2017,930947406828654593
28,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:55:22 +0000 2017,930947363006533632
29,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:55:20 +0000 2017,930947357826482181
30,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:55:09 +0000 2017,930947310313500672
31,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:54:55 +0000 2017,930947250326564865
32,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:54:40 +0000 2017,930947189530157057
33,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:54:38 +0000 2017,930947178062929925
34,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:37 +0000 2017,930947176649363456
35,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:54:36 +0000 2017,930947173407248384
36,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:16 +0000 2017,930947087440760832
37,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:54:11 +0000 2017,930947065974321152
38,0.75,@Macys,0.067,0.7,0.233,Wed Nov 15 17:54:03 +0000 2017,930947032843419649
39,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:49 +0000 2017,930946973015867393
40,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:53:26 +0000 2017,930946879097135104
41,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:21 +0000 2017,930946856519131136
42,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:53:19 +0000 2017,930946846746464256
43,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:53:18 +0000 2017,930946846108811265
44,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:50 +0000 2017,930946728966189056
45,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:47 +0000 2017,930946713107550209
46,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:43 +0000 2017,930946698981015552
47,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:39 +0000 2017,930946681155158017
48,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:35 +0000 2017,930946663753101312
49,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:22 +0000 2017,930946607859798016
50,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:52:18 +0000 2017,930946592760311810
51,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:52:17 +0000 2017,930946588717060097
52,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:52:07 +0000 2017,930946547537264640
53,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:51:41 +0000 2017,930946435624984576
54,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:51:38 +0000 2017,930946426372313088
55,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:51:22 +0000 2017,930946358978195456
56,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:51:06 +0000 2017,930946288618823680
57,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:51:04 +0000 2017,930946282998456320
58,0.5106,@Macys,0.0,0.602,0.398,Wed Nov 15 17:51:02 +0000 2017,930946271845732352
59,0.7717,@Macys,0.0,0.739,0.261,Wed Nov 15 17:51:01 +0000 2017,930946271359234048
60,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:57 +0000 2017,930946252958773248
61,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:50:54 +0000 2017,930946241814556672
62,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:52 +0000 2017,930946233790853121
63,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:49 +0000 2017,930946220431937541
64,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:50:39 +0000 2017,930946176001638400
65,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:50:31 +0000 2017,930946142380183553
66,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:50:15 +0000 2017,930946077448179713
67,0.0,@Macys,0.0,1.0,0.0,Wed Nov 15 17:50:11 +0000 2017,930946060599660544
68,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:50:10 +0000 2017,930946055327412224
69,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:50:10 +0000 2017,930946053872017408
70,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:49:57 +0000 2017,930946000100974592
71,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:49:56 +0000 2017,930945995311116288
72,0.7473,@Macys,0.084,0.709,0.206,Wed Nov 15 17:49:55 +0000 2017,930945991896915968
73,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:49:51 +0000 2017,930945976277270530
74,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:49:40 +0000 2017,930945928017661953
75,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:49:33 +0000 2017,930945901836800001
76,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:49:24 +0000 2017,930945862922129408
77,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:49:09 +0000 2017,930945799420182529
78,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:50 +0000 2017,930945719774666752
79,-0.1531,@Macys,0.111,0.758,0.131,Wed Nov 15 17:48:42 +0000 2017,930945687461793792
80,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:48:34 +0000 2017,930945651738898432
81,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:33 +0000 2017,930945648421203968
82,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:48:25 +0000 2017,930945615168753664
83,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:55 +0000 2017,930945488060342273
84,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:27 +0000 2017,930945370712141825
85,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:22 +0000 2017,930945352240435200
86,0.7717,@Macys,0.0,0.729,0.271,Wed Nov 15 17:47:21 +0000 2017,930945348096413696
87,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:14 +0000 2017,930945316395868165
88,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:13 +0000 2017,930945312147038208
89,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:07 +0000 2017,930945287753027584
90,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:47:07 +0000 2017,930945286888984576
91,0.4926,@Macys,0.0,0.856,0.144,Wed Nov 15 17:47:06 +0000 2017,930945283478970369
92,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:47:04 +0000 2017,930945274616393730
93,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:46:58 +0000 2017,930945248783683584
94,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:46:49 +0000 2017,930945212058341377
95,0.919,@Macys,0.0,0.535,0.465,Wed Nov 15 17:46:46 +0000 2017,930945200180072449
96,0.8947,@Macys,0.0,0.65,0.35,Wed Nov 15 17:46:19 +0000 2017,930945085172322304
97,0.5411,@Macys,0.0,0.824,0.176,Wed Nov 15 17:46:17 +0000 2017,930945077685440513
