,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:59:26 +0000 2017,930948389235318784
1,0.6114,@Nike,0.0,0.857,0.143,Wed Nov 15 17:59:26 +0000 2017,930948387830149120
2,0.5106,@Nike,0.0,0.602,0.398,Wed Nov 15 17:59:04 +0000 2017,930948295681302528
3,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:57:53 +0000 2017,930947999424954368
4,0.5994,@Nike,0.051,0.803,0.146,Wed Nov 15 17:57:13 +0000 2017,930947831967440898
5,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:56:47 +0000 2017,930947722450014208
6,0.5972,@Nike,0.0,0.909,0.091,Wed Nov 15 17:56:22 +0000 2017,930947614282981376
7,-0.5267,@Nike,0.405,0.595,0.0,Wed Nov 15 17:56:04 +0000 2017,930947540807245825
8,-0.0772,@Nike,0.141,0.736,0.123,Wed Nov 15 17:53:14 +0000 2017,930946826643083264
9,-0.1779,@Nike,0.185,0.664,0.152,Wed Nov 15 17:52:16 +0000 2017,930946585319665665
10,0.4574,@Nike,0.0,0.927,0.073,Wed Nov 15 17:51:42 +0000 2017,930946441664712705
11,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:41:59 +0000 2017,930943996687540224
12,0.3612,@Nike,0.0,0.762,0.238,Wed Nov 15 17:41:17 +0000 2017,930943821273337856
13,0.25,@Nike,0.0,0.818,0.182,Wed Nov 15 17:36:45 +0000 2017,930942679575183360
14,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:33:04 +0000 2017,930941754483859456
15,0.743,@Nike,0.0,0.769,0.231,Wed Nov 15 17:27:07 +0000 2017,930940253472509952
16,0.0,@Nike,0.0,0.0,0.0,Wed Nov 15 17:26:32 +0000 2017,930940106982162434
17,0.7902,@Nike,0.0,0.734,0.266,Wed Nov 15 17:23:14 +0000 2017,930939277982289922
18,-0.116,@Nike,0.083,0.796,0.122,Wed Nov 15 17:22:42 +0000 2017,930939144573943808
19,0.4404,@Nike,0.0,0.256,0.744,Wed Nov 15 17:22:29 +0000 2017,930939089875902464
20,-0.34,@Nike,0.255,0.745,0.0,Wed Nov 15 17:22:06 +0000 2017,930938991133704193
21,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:21:50 +0000 2017,930938926663176192
22,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:21:42 +0000 2017,930938891615453184
23,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:21:40 +0000 2017,930938883662999552
24,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:20:59 +0000 2017,930938711931363329
25,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:19:34 +0000 2017,930938354300014593
26,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:18:10 +0000 2017,930938000896278528
27,0.807,@Nike,0.025,0.813,0.162,Wed Nov 15 17:17:48 +0000 2017,930937910228148224
28,0.2486,@Nike,0.121,0.656,0.222,Wed Nov 15 17:17:00 +0000 2017,930937711086641152
29,0.4199,@Nike,0.0,0.264,0.736,Wed Nov 15 17:15:58 +0000 2017,930937448254844928
30,0.6369,@Nike,0.0,0.781,0.219,Wed Nov 15 17:15:28 +0000 2017,930937323876966400
31,-0.1779,@Nike,1.0,0.0,0.0,Wed Nov 15 17:13:31 +0000 2017,930936832035921920
32,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:13:12 +0000 2017,930936752348585984
33,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:08:22 +0000 2017,930935538495967233
34,-0.5423,@Nike,0.313,0.547,0.139,Wed Nov 15 17:07:22 +0000 2017,930935284602195968
35,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:06:10 +0000 2017,930934981815304192
36,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:05:31 +0000 2017,930934817172078595
37,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:04:41 +0000 2017,930934610447552517
38,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:02:24 +0000 2017,930934035391672321
39,0.0,@Nike,0.0,1.0,0.0,Wed Nov 15 17:00:42 +0000 2017,930933608642170880
40,0.0,@Nike,0.0,0.0,0.0,Wed Nov 15 17:00:24 +0000 2017,930933531844534272
