,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.25,@Walmart,0.094,0.769,0.137,Wed Nov 15 17:59:46 +0000 2017,9.30948E+17
1,0.3612,@Walmart,0,0.706,0.294,Wed Nov 15 17:59:00 +0000 2017,9.30948E+17
2,0,@Walmart,0,1,0,Wed Nov 15 17:58:09 +0000 2017,9.30948E+17
3,0.6369,@Walmart,0.083,0.677,0.241,Wed Nov 15 17:57:54 +0000 2017,9.30948E+17
4,0,@Walmart,0,1,0,Wed Nov 15 17:57:25 +0000 2017,9.30948E+17
5,0.2023,@Walmart,0.12,0.673,0.207,Wed Nov 15 17:55:37 +0000 2017,9.30947E+17
6,0,@Walmart,0,1,0,Wed Nov 15 17:55:33 +0000 2017,9.30947E+17
7,-0.8715,@Walmart,0.298,0.669,0.033,Wed Nov 15 17:53:49 +0000 2017,9.30947E+17
8,0,@Walmart,0,1,0,Wed Nov 15 17:52:19 +0000 2017,9.30947E+17
9,0.7835,@Walmart,0,0.67,0.33,Wed Nov 15 17:52:07 +0000 2017,9.30947E+17
10,0.1779,@Walmart,0,0.918,0.082,Wed Nov 15 17:51:52 +0000 2017,9.30946E+17
11,0.4767,@Walmart,0,0.661,0.339,Wed Nov 15 17:51:47 +0000 2017,9.30946E+17
12,0.6697,@Walmart,0,0.316,0.684,Wed Nov 15 17:51:01 +0000 2017,9.30946E+17
13,-0.3412,@Walmart,0.06,0.94,0,Wed Nov 15 17:50:34 +0000 2017,9.30946E+17
14,0.5106,@Walmart,0,0.777,0.223,Wed Nov 15 17:50:21 +0000 2017,9.30946E+17
15,0.8122,@Walmart,0,0.575,0.425,Wed Nov 15 17:50:17 +0000 2017,9.30946E+17
16,-0.5994,@Walmart,0.187,0.813,0,Wed Nov 15 17:48:19 +0000 2017,9.30946E+17
17,0.6705,@Walmart,0.029,0.849,0.122,Wed Nov 15 17:47:21 +0000 2017,9.30945E+17
18,0.5478,@Walmart,0,0.815,0.185,Wed Nov 15 17:46:25 +0000 2017,9.30945E+17
19,-0.4404,@Walmart,0.492,0.508,0,Wed Nov 15 17:46:24 +0000 2017,9.30945E+17
20,0,@Walmart,0,1,0,Wed Nov 15 17:46:14 +0000 2017,9.30945E+17
21,-0.9435,@Walmart,0.477,0.404,0.119,Wed Nov 15 17:45:43 +0000 2017,9.30945E+17
22,0.7579,@Walmart,0,0.629,0.371,Wed Nov 15 17:45:18 +0000 2017,9.30945E+17
23,0,@Walmart,0,1,0,Wed Nov 15 17:45:02 +0000 2017,9.30945E+17
24,0,@Walmart,0,1,0,Wed Nov 15 17:44:42 +0000 2017,9.30945E+17
25,0.4466,@Walmart,0,0.705,0.295,Wed Nov 15 17:44:34 +0000 2017,9.30945E+17
26,0,@Walmart,0,1,0,Wed Nov 15 17:37:52 +0000 2017,9.30943E+17
27,-0.6486,@Walmart,0.381,0.619,0,Wed Nov 15 17:37:37 +0000 2017,9.30943E+17
28,0.6588,@Walmart,0,0.695,0.305,Wed Nov 15 17:36:11 +0000 2017,9.30943E+17
29,0,@Walmart,0,1,0,Wed Nov 15 17:35:38 +0000 2017,9.30942E+17
30,0.6988,@Walmart,0,0.455,0.545,Wed Nov 15 17:35:19 +0000 2017,9.30942E+17
31,0.7906,@Walmart,0,0.682,0.318,Wed Nov 15 17:32:38 +0000 2017,9.30942E+17
32,0,@Walmart,0,1,0,Wed Nov 15 17:31:45 +0000 2017,9.30941E+17
33,0,@Walmart,0,1,0,Wed Nov 15 17:31:18 +0000 2017,9.30941E+17
34,-0.9001,@Walmart,0.255,0.745,0,Wed Nov 15 17:30:30 +0000 2017,9.30941E+17
35,0.2732,@Walmart,0,0.704,0.296,Wed Nov 15 17:30:28 +0000 2017,9.30941E+17
36,0.9715,@Walmart,0,0.501,0.499,Wed Nov 15 17:30:20 +0000 2017,9.30941E+17
37,-0.5267,@Walmart,0.773,0.227,0,Wed Nov 15 17:29:38 +0000 2017,9.30941E+17
38,0,@Walmart,0,1,0,Wed Nov 15 17:28:54 +0000 2017,9.30941E+17
39,-0.0711,@Walmart,0.125,0.763,0.112,Wed Nov 15 17:27:11 +0000 2017,9.3094E+17
40,0.5013,@Walmart,0,0.93,0.07,Wed Nov 15 17:26:15 +0000 2017,9.3094E+17
41,0.4404,@Walmart,0,0.884,0.116,Wed Nov 15 17:24:34 +0000 2017,9.3094E+17
42,0.6705,@Walmart,0,0.56,0.44,Wed Nov 15 17:23:13 +0000 2017,9.30939E+17
43,0.4995,@Walmart,0,0.712,0.288,Wed Nov 15 17:22:55 +0000 2017,9.30939E+17
44,0.9312,@Walmart,0,0.383,0.617,Wed Nov 15 17:21:36 +0000 2017,9.30939E+17
45,0.555,@Walmart,0,0.218,0.782,Wed Nov 15 17:19:18 +0000 2017,9.30938E+17
46,0,@Walmart,0,1,0,Wed Nov 15 17:19:07 +0000 2017,9.30938E+17
47,0.6892,@Walmart,0.045,0.78,0.175,Wed Nov 15 17:18:18 +0000 2017,9.30938E+17
48,-0.2732,@Walmart,0.189,0.811,0,Wed Nov 15 17:17:50 +0000 2017,9.30938E+17
49,0,@Walmart,0,1,0,Wed Nov 15 17:17:39 +0000 2017,9.30938E+17
50,0.7351,@Walmart,0,0.294,0.706,Wed Nov 15 17:17:10 +0000 2017,9.30938E+17
51,0.4019,@Walmart,0,0.847,0.153,Wed Nov 15 17:16:49 +0000 2017,9.30938E+17
52,0,@Walmart,0,1,0,Wed Nov 15 17:16:46 +0000 2017,9.30938E+17
53,0,@Walmart,0,1,0,Wed Nov 15 17:16:35 +0000 2017,9.30938E+17
54,0.6476,@Walmart,0,0.602,0.398,Wed Nov 15 17:16:29 +0000 2017,9.30938E+17
55,0.7884,@Walmart,0,0.653,0.347,Wed Nov 15 17:14:41 +0000 2017,9.30937E+17
56,0,@Walmart,0,1,0,Wed Nov 15 17:14:35 +0000 2017,9.30937E+17
57,0.8593,@Walmart,0,0.596,0.404,Wed Nov 15 17:13:14 +0000 2017,9.30937E+17
58,0,@Walmart,0,1,0,Wed Nov 15 17:12:41 +0000 2017,9.30937E+17
59,-0.2584,@Walmart,0.289,0.711,0,Wed Nov 15 17:12:41 +0000 2017,9.30937E+17
60,0,@Walmart,0,1,0,Wed Nov 15 17:12:26 +0000 2017,9.30937E+17
61,-0.5256,@Walmart,0.236,0.764,0,Wed Nov 15 17:12:17 +0000 2017,9.30937E+17
62,-0.5707,@Walmart,0.153,0.788,0.059,Wed Nov 15 17:12:13 +0000 2017,9.30937E+17
63,0.7269,@Walmart,0.056,0.734,0.21,Wed Nov 15 17:12:05 +0000 2017,9.30936E+17
64,0,@Walmart,0,1,0,Wed Nov 15 17:11:58 +0000 2017,9.30936E+17
65,0.8409,@Walmart,0,0.428,0.572,Wed Nov 15 17:11:32 +0000 2017,9.30936E+17
66,-0.4404,@Walmart,0.206,0.794,0,Wed Nov 15 17:10:26 +0000 2017,9.30936E+17
67,0,@Walmart,0,1,0,Wed Nov 15 17:09:11 +0000 2017,9.30936E+17
68,0,@Walmart,0,1,0,Wed Nov 15 17:07:50 +0000 2017,9.30935E+17
69,-0.857,@Walmart,0.462,0.538,0,Wed Nov 15 17:07:38 +0000 2017,9.30935E+17
70,0.4926,@Walmart,0.077,0.769,0.154,Wed Nov 15 17:07:27 +0000 2017,9.30935E+17
71,0.4626,@Walmart,0.098,0.669,0.233,Wed Nov 15 17:06:20 +0000 2017,9.30935E+17
72,0.6705,@Walmart,0,0.56,0.44,Wed Nov 15 17:05:16 +0000 2017,9.30935E+17
73,0.4003,@Walmart,0,0.899,0.101,Wed Nov 15 17:05:11 +0000 2017,9.30935E+17
74,0.4588,@Walmart,0.104,0.683,0.212,Wed Nov 15 17:04:01 +0000 2017,9.30934E+17
75,0.6588,@Walmart,0,0.65,0.35,Wed Nov 15 17:03:08 +0000 2017,9.30934E+17
76,-0.5106,@Walmart,0.292,0.708,0,Wed Nov 15 17:02:47 +0000 2017,9.30934E+17
77,0.3919,@Walmart,0.135,0.591,0.274,Wed Nov 15 17:02:30 +0000 2017,9.30934E+17
78,0.4019,@Walmart,0,0.922,0.078,Wed Nov 15 17:01:53 +0000 2017,9.30934E+17
79,0.5994,@Walmart,0,0.719,0.281,Wed Nov 15 16:59:19 +0000 2017,9.30933E+17
80,-0.4215,@Walmart,0.125,0.811,0.064,Wed Nov 15 16:59:13 +0000 2017,9.30933E+17
81,0,@Walmart,0,1,0,Wed Nov 15 16:58:56 +0000 2017,9.30933E+17
82,0,@Walmart,0,1,0,Wed Nov 15 16:56:52 +0000 2017,9.30933E+17
83,-0.1779,@Walmart,0.159,0.841,0,Wed Nov 15 16:56:33 +0000 2017,9.30933E+17
84,-0.4215,@Walmart,0.162,0.718,0.12,Wed Nov 15 16:56:21 +0000 2017,9.30933E+17
85,-0.4588,@Walmart,0.235,0.765,0,Wed Nov 15 16:56:09 +0000 2017,9.30932E+17
86,0,@Walmart,0,1,0,Wed Nov 15 16:55:57 +0000 2017,9.30932E+17
87,0.8217,@Walmart,0,0.744,0.256,Wed Nov 15 16:55:32 +0000 2017,9.30932E+17
88,-0.6369,@Walmart,0.197,0.691,0.112,Wed Nov 15 16:55:15 +0000 2017,9.30932E+17
89,0.8885,@Walmart,0.03,0.696,0.274,Wed Nov 15 16:53:46 +0000 2017,9.30932E+17
90,0.8908,@Walmart,0,0.63,0.37,Wed Nov 15 16:53:43 +0000 2017,9.30932E+17
91,0.6696,@Walmart,0,0.471,0.529,Wed Nov 15 16:52:09 +0000 2017,9.30931E+17
92,0,@Walmart,0,1,0,Wed Nov 15 16:52:06 +0000 2017,9.30931E+17
93,0.802,@Walmart,0,0.625,0.375,Wed Nov 15 16:52:03 +0000 2017,9.30931E+17
94,0.5526,@Walmart,0.185,0.461,0.354,Wed Nov 15 16:52:03 +0000 2017,9.30931E+17
95,0.3612,@Walmart,0,0.815,0.185,Wed Nov 15 16:51:32 +0000 2017,9.30931E+17
96,-0.2584,@Walmart,0.253,0.747,0,Wed Nov 15 16:51:30 +0000 2017,9.30931E+17
97,0.6705,@Walmart,0,0.857,0.143,Wed Nov 15 16:51:22 +0000 2017,9.30931E+17
98,0,@Walmart,0,1,0,Wed Nov 15 16:51:04 +0000 2017,9.30931E+17
99,0.5927,@Walmart,0,0.857,0.143,Wed Nov 15 16:50:46 +0000 2017,9.30931E+17
,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.25,@Walmart,0.094,0.769,0.137,Wed Nov 15 17:59:46 +0000 2017,9.30948E+17
1,0.3612,@Walmart,0,0.706,0.294,Wed Nov 15 17:59:00 +0000 2017,9.30948E+17
2,0,@Walmart,0,1,0,Wed Nov 15 17:58:09 +0000 2017,9.30948E+17
3,0.6369,@Walmart,0.083,0.677,0.241,Wed Nov 15 17:57:54 +0000 2017,9.30948E+17
4,0,@Walmart,0,1,0,Wed Nov 15 17:57:25 +0000 2017,9.30948E+17
5,0.2023,@Walmart,0.12,0.673,0.207,Wed Nov 15 17:55:37 +0000 2017,9.30947E+17
6,0,@Walmart,0,1,0,Wed Nov 15 17:55:33 +0000 2017,9.30947E+17
7,-0.8715,@Walmart,0.298,0.669,0.033,Wed Nov 15 17:53:49 +0000 2017,9.30947E+17
8,0,@Walmart,0,1,0,Wed Nov 15 17:52:19 +0000 2017,9.30947E+17
9,0.7835,@Walmart,0,0.67,0.33,Wed Nov 15 17:52:07 +0000 2017,9.30947E+17
10,0.1779,@Walmart,0,0.918,0.082,Wed Nov 15 17:51:52 +0000 2017,9.30946E+17
11,0.4767,@Walmart,0,0.661,0.339,Wed Nov 15 17:51:47 +0000 2017,9.30946E+17
12,0.6697,@Walmart,0,0.316,0.684,Wed Nov 15 17:51:01 +0000 2017,9.30946E+17
13,-0.3412,@Walmart,0.06,0.94,0,Wed Nov 15 17:50:34 +0000 2017,9.30946E+17
14,0.5106,@Walmart,0,0.777,0.223,Wed Nov 15 17:50:21 +0000 2017,9.30946E+17
15,0.8122,@Walmart,0,0.575,0.425,Wed Nov 15 17:50:17 +0000 2017,9.30946E+17
16,-0.5994,@Walmart,0.187,0.813,0,Wed Nov 15 17:48:19 +0000 2017,9.30946E+17
17,0.6705,@Walmart,0.029,0.849,0.122,Wed Nov 15 17:47:21 +0000 2017,9.30945E+17
18,0.5478,@Walmart,0,0.815,0.185,Wed Nov 15 17:46:25 +0000 2017,9.30945E+17
19,-0.4404,@Walmart,0.492,0.508,0,Wed Nov 15 17:46:24 +0000 2017,9.30945E+17
20,0,@Walmart,0,1,0,Wed Nov 15 17:46:14 +0000 2017,9.30945E+17
21,-0.9435,@Walmart,0.477,0.404,0.119,Wed Nov 15 17:45:43 +0000 2017,9.30945E+17
22,0.7579,@Walmart,0,0.629,0.371,Wed Nov 15 17:45:18 +0000 2017,9.30945E+17
23,0,@Walmart,0,1,0,Wed Nov 15 17:45:02 +0000 2017,9.30945E+17
24,0,@Walmart,0,1,0,Wed Nov 15 17:44:42 +0000 2017,9.30945E+17
25,0.4466,@Walmart,0,0.705,0.295,Wed Nov 15 17:44:34 +0000 2017,9.30945E+17
26,0,@Walmart,0,1,0,Wed Nov 15 17:37:52 +0000 2017,9.30943E+17
27,-0.6486,@Walmart,0.381,0.619,0,Wed Nov 15 17:37:37 +0000 2017,9.30943E+17
28,0.6588,@Walmart,0,0.695,0.305,Wed Nov 15 17:36:11 +0000 2017,9.30943E+17
29,0,@Walmart,0,1,0,Wed Nov 15 17:35:38 +0000 2017,9.30942E+17
30,0.6988,@Walmart,0,0.455,0.545,Wed Nov 15 17:35:19 +0000 2017,9.30942E+17
31,0.7906,@Walmart,0,0.682,0.318,Wed Nov 15 17:32:38 +0000 2017,9.30942E+17
32,0,@Walmart,0,1,0,Wed Nov 15 17:31:45 +0000 2017,9.30941E+17
33,0,@Walmart,0,1,0,Wed Nov 15 17:31:18 +0000 2017,9.30941E+17
34,-0.9001,@Walmart,0.255,0.745,0,Wed Nov 15 17:30:30 +0000 2017,9.30941E+17
35,0.2732,@Walmart,0,0.704,0.296,Wed Nov 15 17:30:28 +0000 2017,9.30941E+17
36,0.9715,@Walmart,0,0.501,0.499,Wed Nov 15 17:30:20 +0000 2017,9.30941E+17
37,-0.5267,@Walmart,0.773,0.227,0,Wed Nov 15 17:29:38 +0000 2017,9.30941E+17
38,0,@Walmart,0,1,0,Wed Nov 15 17:28:54 +0000 2017,9.30941E+17
39,-0.0711,@Walmart,0.125,0.763,0.112,Wed Nov 15 17:27:11 +0000 2017,9.3094E+17
40,0.5013,@Walmart,0,0.93,0.07,Wed Nov 15 17:26:15 +0000 2017,9.3094E+17
41,0.4404,@Walmart,0,0.884,0.116,Wed Nov 15 17:24:34 +0000 2017,9.3094E+17
42,0.6705,@Walmart,0,0.56,0.44,Wed Nov 15 17:23:13 +0000 2017,9.30939E+17
43,0.4995,@Walmart,0,0.712,0.288,Wed Nov 15 17:22:55 +0000 2017,9.30939E+17
44,0.9312,@Walmart,0,0.383,0.617,Wed Nov 15 17:21:36 +0000 2017,9.30939E+17
45,0.555,@Walmart,0,0.218,0.782,Wed Nov 15 17:19:18 +0000 2017,9.30938E+17
46,0,@Walmart,0,1,0,Wed Nov 15 17:19:07 +0000 2017,9.30938E+17
47,0.6892,@Walmart,0.045,0.78,0.175,Wed Nov 15 17:18:18 +0000 2017,9.30938E+17
48,-0.2732,@Walmart,0.189,0.811,0,Wed Nov 15 17:17:50 +0000 2017,9.30938E+17
49,0,@Walmart,0,1,0,Wed Nov 15 17:17:39 +0000 2017,9.30938E+17
50,0.7351,@Walmart,0,0.294,0.706,Wed Nov 15 17:17:10 +0000 2017,9.30938E+17
51,0.4019,@Walmart,0,0.847,0.153,Wed Nov 15 17:16:49 +0000 2017,9.30938E+17
52,0,@Walmart,0,1,0,Wed Nov 15 17:16:46 +0000 2017,9.30938E+17
53,0,@Walmart,0,1,0,Wed Nov 15 17:16:35 +0000 2017,9.30938E+17
54,0.6476,@Walmart,0,0.602,0.398,Wed Nov 15 17:16:29 +0000 2017,9.30938E+17
55,0.7884,@Walmart,0,0.653,0.347,Wed Nov 15 17:14:41 +0000 2017,9.30937E+17
56,0,@Walmart,0,1,0,Wed Nov 15 17:14:35 +0000 2017,9.30937E+17
57,0.8593,@Walmart,0,0.596,0.404,Wed Nov 15 17:13:14 +0000 2017,9.30937E+17
58,0,@Walmart,0,1,0,Wed Nov 15 17:12:41 +0000 2017,9.30937E+17
59,-0.2584,@Walmart,0.289,0.711,0,Wed Nov 15 17:12:41 +0000 2017,9.30937E+17
60,0,@Walmart,0,1,0,Wed Nov 15 17:12:26 +0000 2017,9.30937E+17
61,-0.5256,@Walmart,0.236,0.764,0,Wed Nov 15 17:12:17 +0000 2017,9.30937E+17
62,-0.5707,@Walmart,0.153,0.788,0.059,Wed Nov 15 17:12:13 +0000 2017,9.30937E+17
63,0.7269,@Walmart,0.056,0.734,0.21,Wed Nov 15 17:12:05 +0000 2017,9.30936E+17
64,0,@Walmart,0,1,0,Wed Nov 15 17:11:58 +0000 2017,9.30936E+17
65,0.8409,@Walmart,0,0.428,0.572,Wed Nov 15 17:11:32 +0000 2017,9.30936E+17
66,-0.4404,@Walmart,0.206,0.794,0,Wed Nov 15 17:10:26 +0000 2017,9.30936E+17
67,0,@Walmart,0,1,0,Wed Nov 15 17:09:11 +0000 2017,9.30936E+17
68,0,@Walmart,0,1,0,Wed Nov 15 17:07:50 +0000 2017,9.30935E+17
69,-0.857,@Walmart,0.462,0.538,0,Wed Nov 15 17:07:38 +0000 2017,9.30935E+17
70,0.4926,@Walmart,0.077,0.769,0.154,Wed Nov 15 17:07:27 +0000 2017,9.30935E+17
71,0.4626,@Walmart,0.098,0.669,0.233,Wed Nov 15 17:06:20 +0000 2017,9.30935E+17
72,0.6705,@Walmart,0,0.56,0.44,Wed Nov 15 17:05:16 +0000 2017,9.30935E+17
73,0.4003,@Walmart,0,0.899,0.101,Wed Nov 15 17:05:11 +0000 2017,9.30935E+17
74,0.4588,@Walmart,0.104,0.683,0.212,Wed Nov 15 17:04:01 +0000 2017,9.30934E+17
75,0.6588,@Walmart,0,0.65,0.35,Wed Nov 15 17:03:08 +0000 2017,9.30934E+17
76,-0.5106,@Walmart,0.292,0.708,0,Wed Nov 15 17:02:47 +0000 2017,9.30934E+17
77,0.3919,@Walmart,0.135,0.591,0.274,Wed Nov 15 17:02:30 +0000 2017,9.30934E+17
78,0.4019,@Walmart,0,0.922,0.078,Wed Nov 15 17:01:53 +0000 2017,9.30934E+17
79,0.5994,@Walmart,0,0.719,0.281,Wed Nov 15 16:59:19 +0000 2017,9.30933E+17
80,-0.4215,@Walmart,0.125,0.811,0.064,Wed Nov 15 16:59:13 +0000 2017,9.30933E+17
81,0,@Walmart,0,1,0,Wed Nov 15 16:58:56 +0000 2017,9.30933E+17
82,0,@Walmart,0,1,0,Wed Nov 15 16:56:52 +0000 2017,9.30933E+17
83,-0.1779,@Walmart,0.159,0.841,0,Wed Nov 15 16:56:33 +0000 2017,9.30933E+17
84,-0.4215,@Walmart,0.162,0.718,0.12,Wed Nov 15 16:56:21 +0000 2017,9.30933E+17
85,-0.4588,@Walmart,0.235,0.765,0,Wed Nov 15 16:56:09 +0000 2017,9.30932E+17
86,0,@Walmart,0,1,0,Wed Nov 15 16:55:57 +0000 2017,9.30932E+17
87,0.8217,@Walmart,0,0.744,0.256,Wed Nov 15 16:55:32 +0000 2017,9.30932E+17
88,-0.6369,@Walmart,0.197,0.691,0.112,Wed Nov 15 16:55:15 +0000 2017,9.30932E+17
89,0.8885,@Walmart,0.03,0.696,0.274,Wed Nov 15 16:53:46 +0000 2017,9.30932E+17
90,0.8908,@Walmart,0,0.63,0.37,Wed Nov 15 16:53:43 +0000 2017,9.30932E+17
91,0.6696,@Walmart,0,0.471,0.529,Wed Nov 15 16:52:09 +0000 2017,9.30931E+17
92,0,@Walmart,0,1,0,Wed Nov 15 16:52:06 +0000 2017,9.30931E+17
93,0.802,@Walmart,0,0.625,0.375,Wed Nov 15 16:52:03 +0000 2017,9.30931E+17
94,0.5526,@Walmart,0.185,0.461,0.354,Wed Nov 15 16:52:03 +0000 2017,9.30931E+17
95,0.3612,@Walmart,0,0.815,0.185,Wed Nov 15 16:51:32 +0000 2017,9.30931E+17
96,-0.2584,@Walmart,0.253,0.747,0,Wed Nov 15 16:51:30 +0000 2017,9.30931E+17
97,0.6705,@Walmart,0,0.857,0.143,Wed Nov 15 16:51:22 +0000 2017,9.30931E+17
98,0,@Walmart,0,1,0,Wed Nov 15 16:51:04 +0000 2017,9.30931E+17
99,0.5927,@Walmart,0,0.857,0.143,Wed Nov 15 16:50:46 +0000 2017,9.30931E+17
0,0,@Walmart,0,1,0,Tue Nov 07 17:59:29 +0000 2017,9.28049E+17
1,0.7339,@Walmart,0,0.721,0.279,Tue Nov 07 17:58:24 +0000 2017,9.28049E+17
2,-0.5267,@Walmart,0.12,0.88,0,Tue Nov 07 17:57:55 +0000 2017,9.28049E+17
3,0.69,@Walmart,0,0.637,0.363,Tue Nov 07 17:57:16 +0000 2017,9.28049E+17
4,-0.4926,@Walmart,0.179,0.764,0.057,Tue Nov 07 17:56:22 +0000 2017,9.28049E+17
5,0,@Walmart,0,1,0,Tue Nov 07 17:55:13 +0000 2017,9.28048E+17
6,0.784,@Walmart,0,0.699,0.301,Tue Nov 07 17:54:32 +0000 2017,9.28048E+17
7,0.4939,@Walmart,0,0.878,0.122,Tue Nov 07 17:53:55 +0000 2017,9.28048E+17
8,0.5994,@Walmart,0.087,0.679,0.234,Tue Nov 07 17:51:22 +0000 2017,9.28047E+17
9,0.4404,@Walmart,0,0.847,0.153,Tue Nov 07 17:51:15 +0000 2017,9.28047E+17
10,0.7854,@Walmart,0.052,0.691,0.257,Tue Nov 07 17:50:54 +0000 2017,9.28047E+17
11,0.9186,@Walmart,0,0.435,0.565,Tue Nov 07 17:50:18 +0000 2017,9.28047E+17
12,0,@Walmart,0.121,0.758,0.121,Tue Nov 07 17:49:15 +0000 2017,9.28047E+17
13,0.3802,@Walmart,0,0.927,0.073,Tue Nov 07 17:48:59 +0000 2017,9.28047E+17
14,-0.8257,@Walmart,0.351,0.649,0,Tue Nov 07 17:47:22 +0000 2017,9.28046E+17
15,0.5456,@Walmart,0.112,0.629,0.259,Tue Nov 07 17:46:51 +0000 2017,9.28046E+17
16,0,@Walmart,0,1,0,Tue Nov 07 17:46:21 +0000 2017,9.28046E+17
