,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0,@amazon,0,1,0,Wed Nov 15 17:59:52 +0000 2017,9.30948E+17
1,0,@amazon,0,1,0,Wed Nov 15 17:59:50 +0000 2017,9.30948E+17
2,0.5106,@amazon,0.097,0.661,0.242,Wed Nov 15 17:59:50 +0000 2017,9.30948E+17
3,0.25,@amazon,0.094,0.769,0.137,Wed Nov 15 17:59:46 +0000 2017,9.30948E+17
4,0,@amazon,0,1,0,Wed Nov 15 17:59:42 +0000 2017,9.30948E+17
5,0.4939,@amazon,0,0.652,0.348,Wed Nov 15 17:59:37 +0000 2017,9.30948E+17
6,0.2204,@amazon,0,0.906,0.094,Wed Nov 15 17:59:33 +0000 2017,9.30948E+17
7,0.5106,@amazon,0,0.82,0.18,Wed Nov 15 17:59:19 +0000 2017,9.30948E+17
8,0.6705,@amazon,0,0.766,0.234,Wed Nov 15 17:59:18 +0000 2017,9.30948E+17
9,0,@amazon,0,1,0,Wed Nov 15 17:59:18 +0000 2017,9.30948E+17
10,0.4404,@amazon,0,0.753,0.247,Wed Nov 15 17:59:17 +0000 2017,9.30948E+17
11,0.4404,@amazon,0,0.753,0.247,Wed Nov 15 17:59:17 +0000 2017,9.30948E+17
12,0,@amazon,0,1,0,Wed Nov 15 17:59:13 +0000 2017,9.30948E+17
13,0,@amazon,0,1,0,Wed Nov 15 17:59:06 +0000 2017,9.30948E+17
14,0.3612,@amazon,0.121,0.649,0.229,Wed Nov 15 17:59:05 +0000 2017,9.30948E+17
15,0.75,@amazon,0.076,0.625,0.298,Wed Nov 15 17:59:04 +0000 2017,9.30948E+17
16,0.5255,@amazon,0,0.866,0.134,Wed Nov 15 17:59:03 +0000 2017,9.30948E+17
17,0.7717,@amazon,0,0.739,0.261,Wed Nov 15 17:58:57 +0000 2017,9.30948E+17
18,-0.4588,@amazon,0.176,0.824,0,Wed Nov 15 17:58:49 +0000 2017,9.30948E+17
19,0,@amazon,0,1,0,Wed Nov 15 17:58:44 +0000 2017,9.30948E+17
20,0.5859,@amazon,0,0,1,Wed Nov 15 17:58:36 +0000 2017,9.30948E+17
