,compound,entity,neg,neu,pos,tweet_date,tweet_id
0,0.1513,@netflix,0.175,0.604,0.221,Wed Nov 15 17:59:36 +0000 2017,930948431106990082
1,0.7383,@netflix,0.048,0.756,0.196,Wed Nov 15 17:59:18 +0000 2017,930948355596922880
2,0.6114,@netflix,0.083,0.667,0.25,Wed Nov 15 17:58:21 +0000 2017,930948115015913472
3,0.352,@netflix,0.0,0.907,0.093,Wed Nov 15 17:58:13 +0000 2017,930948082463838209
4,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:58:06 +0000 2017,930948051342102528
5,0.4588,@netflix,0.0,0.7,0.3,Wed Nov 15 17:58:04 +0000 2017,930948042852913152
6,0.1697,@netflix,0.128,0.666,0.206,Wed Nov 15 17:57:44 +0000 2017,930947960103362560
7,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:57:28 +0000 2017,930947894257115136
8,0.4648,@netflix,0.0,0.569,0.431,Wed Nov 15 17:57:27 +0000 2017,930947890628911106
9,-0.3506,@netflix,0.137,0.806,0.058,Wed Nov 15 17:57:08 +0000 2017,930947809926361088
10,0.5859,@netflix,0.0,0.863,0.137,Wed Nov 15 17:56:55 +0000 2017,930947756394291200
11,-0.7783,@netflix,0.264,0.736,0.0,Wed Nov 15 17:56:51 +0000 2017,930947737775951872
12,0.6696,@netflix,0.0,0.64,0.36,Wed Nov 15 17:56:49 +0000 2017,930947727365681153
13,-0.6468,@netflix,0.289,0.711,0.0,Wed Nov 15 17:56:36 +0000 2017,930947674433519616
14,0.7419,@netflix,0.0,0.855,0.145,Wed Nov 15 17:56:35 +0000 2017,930947669727604736
15,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:56:27 +0000 2017,930947636504420352
16,-0.3182,@netflix,1.0,0.0,0.0,Wed Nov 15 17:55:47 +0000 2017,930947467385896960
17,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:54:53 +0000 2017,930947240893472768
18,-0.0516,@netflix,0.146,0.854,0.0,Wed Nov 15 17:54:52 +0000 2017,930947236925788161
19,0.7096,@netflix,0.0,0.67,0.33,Wed Nov 15 17:54:48 +0000 2017,930947220215492608
20,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:54:36 +0000 2017,930947171276517376
21,0.5994,@netflix,0.0,0.909,0.091,Wed Nov 15 17:54:31 +0000 2017,930947149390630918
22,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:54:27 +0000 2017,930947132995067904
23,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:54:25 +0000 2017,930947124052746240
24,-0.631,@netflix,0.293,0.707,0.0,Wed Nov 15 17:54:03 +0000 2017,930947031643725824
25,0.508,@netflix,0.0,0.0,1.0,Wed Nov 15 17:53:47 +0000 2017,930946964052684800
26,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:53:40 +0000 2017,930946935808172032
27,0.6597,@netflix,0.0,0.625,0.375,Wed Nov 15 17:53:34 +0000 2017,930946909476401152
28,-0.7269,@netflix,0.337,0.663,0.0,Wed Nov 15 17:53:18 +0000 2017,930946845727182848
29,-0.2223,@netflix,0.144,0.746,0.11,Wed Nov 15 17:53:17 +0000 2017,930946840400465920
30,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:53:13 +0000 2017,930946824374046720
31,-0.6249,@netflix,0.212,0.788,0.0,Wed Nov 15 17:53:11 +0000 2017,930946814932635649
32,-0.6331,@netflix,0.275,0.725,0.0,Wed Nov 15 17:53:06 +0000 2017,930946792945958913
33,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:51:53 +0000 2017,930946489714556928
34,0.0,@netflix,0.0,1.0,0.0,Wed Nov 15 17:51:51 +0000 2017,930946481254813697
35,-0.6409,@netflix,0.224,0.691,0.085,Wed Nov 15 17:51:39 +0000 2017,930946428947582976
36,0.7906,@netflix,0.0,0.767,0.233,Wed Nov 15 17:50:49 +0000 2017,930946217282097153
37,0.8034,@netflix,0.0,0.66,0.34,Wed Nov 15 17:50:13 +0000 2017,930946067071488000
